Match Date,Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Form,Player 2 Form,Head-to-Head Record,Surface,Weather,Match Outcome
2022-07-13,Frances Tiafoe,Carlos Alcaraz,1,9,0.79,0.65,1-1,Grass,Cloudy,Frances Tiafoe
2022-06-20,Carlos Alcaraz,Frances Tiafoe,18,3,0.63,0.87,4-3,Grass,Sunny,Frances Tiafoe
2022-07-12,Carlos Alcaraz,Jannik Sinner,8,17,0.65,0.56,4-0,Grass,Cloudy,Carlos Alcaraz
2022-07-15,Frances Tiafoe,Andrey Rublev,14,8,0.77,0.75,3-4,Grass,Rainy,Andrey Rublev
2022-07-20,Novak Djokovic,Daniil Medvedev,14,11,0.56,0.69,2-1,Grass,Cloudy,Novak Djokovic
2022-07-09,Stefanos Tsitsipas,Carlos Alcaraz,3,13,0.67,0.57,0-2,Grass,Rainy,Carlos Alcaraz
2022-07-07,Alexander Zverev,Novak Djokovic,15,18,0.62,0.38,0-3,Grass,Sunny,Novak Djokovic
2022-06-21,Alexander Zverev,Frances Tiafoe,20,12,0.38,0.57,4-1,Grass,Sunny,Alexander Zverev
2022-06-28,Frances Tiafoe,Jannik Sinner,10,3,0.55,0.75,1-0,Grass,Windy,Jannik Sinner
2022-07-11,Holger Rune,Frances Tiafoe,12,6,0.54,0.55,2-2,Grass,Cloudy,Frances Tiafoe
2022-06-25,Alexander Zverev,Frances Tiafoe,3,20,0.87,0.53,5-1,Grass,Cloudy,Alexander Zverev
2022-07-16,Holger Rune,Casper Ruud,9,18,0.67,0.43,1-5,Grass,Rainy,Casper Ruud
2022-06-26,Novak Djokovic,Jannik Sinner,2,11,0.68,0.65,3-2,Grass,Sunny,Novak Djokovic
2022-06-24,Taylor Fritz,Stefanos Tsitsipas,7,16,0.56,0.63,3-5,Grass,Windy,Stefanos Tsitsipas
2022-07-18,Alexander Zverev,Daniil Medvedev,8,18,0.61,0.54,4-2,Grass,Windy,Alexander Zverev
2022-06-22,Taylor Fritz,Casper Ruud,12,8,0.57,0.86,1-4,Grass,Windy,Casper Ruud
2022-07-02,Novak Djokovic,Carlos Alcaraz,5,6,0.7,0.58,5-3,Grass,Sunny,Novak Djokovic
2022-07-11,Casper Ruud,Taylor Fritz,15,17,0.68,0.46,2-4,Grass,Sunny,Taylor Fritz
2022-06-29,Hubert Hurkacz,Carlos Alcaraz,18,9,0.59,0.46,5-2,Grass,Sunny,Hubert Hurkacz
2022-07-06,Casper Ruud,Daniil Medvedev,15,1,0.47,0.76,5-5,Grass,Rainy,Daniil Medvedev
2022-06-24,Daniil Medvedev,Andrey Rublev,4,10,0.78,0.67,5-4,Grass,Cloudy,Daniil Medvedev
2022-07-05,Stefanos Tsitsipas,Daniil Medvedev,18,17,0.56,0.55,0-4,Grass,Rainy,Daniil Medvedev
2022-07-18,Novak Djokovic,Carlos Alcaraz,12,10,0.48,0.58,1-0,Grass,Cloudy,Novak Djokovic
2022-06-24,Taylor Fritz,Carlos Alcaraz,3,16,0.67,0.7,0-4,Grass,Cloudy,Carlos Alcaraz
2022-07-20,Frances Tiafoe,Holger Rune,18,6,0.6,0.51,2-4,Grass,Windy,Holger Rune
2022-07-04,Jannik Sinner,Andrey Rublev,7,10,0.71,0.61,3-5,Grass,Rainy,Andrey Rublev
2022-06-20,Andrey Rublev,Holger Rune,4,8,0.64,0.73,1-0,Grass,Rainy,Andrey Rublev
2022-07-12,Taylor Fritz,Andrey Rublev,8,19,0.77,0.65,1-0,Grass,Sunny,Taylor Fritz
2022-07-06,Frances Tiafoe,Novak Djokovic,8,3,0.59,0.69,0-2,Grass,Sunny,Novak Djokovic
2022-06-27,Jannik Sinner,Alexander Zverev,16,7,0.62,0.78,4-1,Grass,Windy,Jannik Sinner
